***
*** Digital Image Correlation Engine (DICe), (git sha1: v3.0-beta.8-11-g5ebcdf) Copyright 2021 National Technology & Engineering Solutions of Sandia, LLC (NTESS)
***
*** Reference image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0000.tiff 
*** Deformed image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0001.tiff 
*** DIC method : local 
*** Correlation method: ZNSSD
*** Interpolation method: KEYS_FOURTH
*** Image gradient method: FINITE_DIFFERENCE
*** Optimization method: GRADIENT_BASED_THEN_SIMPLEX
*** Projection method: DISPLACEMENT_BASED
*** Guess initialization method: USE_FEATURE_MATCHING
*** Seed location: N/A
*** Shape functions: Translation (u,v) Normal Strain (ex,ey) Shear Strain (gamma_xy) 
*** Incremental correlation: false
*** Subset size: 21
*** Step size: x 10 y 10 (-1 implies not regular grid)
*** Strain window size in pixels: 100 (only first strain post-processor is reported)
*** Coordinates given with (0,0) as upper left corner of image, x positive right, y positive down
***
SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,VSG_STRAIN_XX,VSG_STRAIN_YY,SIGMA,GAMMA,MATCH
50,8.0000E+01,4.8000E+02,-2.9256E-02,-7.3426E-02,-1.5840E-04,-4.1545E-04,3.3632E-03,2.5944E-05,0.0000E+00
51,8.0000E+01,4.9000E+02,-2.8832E-02,-7.7048E-02,-1.5577E-04,-4.1275E-04,3.3994E-03,2.5058E-05,0.0000E+00
52,8.0000E+01,5.0000E+02,-2.8125E-02,-8.1275E-02,-1.4885E-04,-4.1102E-04,3.5657E-03,2.4630E-05,0.0000E+00
53,8.0000E+01,5.1000E+02,-2.7440E-02,-8.5331E-02,-1.4356E-04,-4.0897E-04,3.3575E-03,2.6043E-05,0.0000E+00
54,8.0000E+01,5.2000E+02,-2.7265E-02,-8.9235E-02,-1.3761E-04,-4.0727E-04,3.7708E-03,2.5027E-05,0.0000E+00
55,8.0000E+01,5.3000E+02,-2.8285E-02,-9.2377E-02,-1.3337E-04,-4.1064E-04,3.9106E-03,2.4146E-05,0.0000E+00
56,8.0000E+01,5.4000E+02,-2.9458E-02,-9.6631E-02,-1.3191E-04,-4.0942E-04,3.0394E-03,2.3676E-05,0.0000E+00
57,8.0000E+01,5.5000E+02,-2.9354E-02,-1.0134E-01,-1.2745E-04,-4.0447E-04,3.1269E-03,2.3758E-05,0.0000E+00
58,8.0000E+01,5.6000E+02,-2.9475E-02,-1.0435E-01,-1.1831E-04,-4.0051E-04,3.5816E-03,2.5530E-05,0.0000E+00
59,8.0000E+01,5.7000E+02,-3.0403E-02,-1.0660E-01,-1.1823E-04,-3.9471E-04,4.1038E-03,3.4353E-05,0.0000E+00
60,8.0000E+01,1.4100E+03,2.0721E-01,-1.0220E+00,2.0516E-05,-2.3317E-04,3.7347E-03,4.4834E-05,0.0000E+00
61,8.0000E+01,1.4200E+03,1.9754E-01,-1.0277E+00,5.7491E-06,-2.4895E-04,3.1862E-03,3.2143E-05,0.0000E+00
62,8.0000E+01,1.4300E+03,1.8580E-01,-1.0307E+00,-1.5127E-05,-2.5828E-04,3.2154E-03,3.0891E-05,0.0000E+00
63,8.0000E+01,1.4400E+03,1.7604E-01,-1.0329E+00,-2.8490E-05,-2.7436E-04,3.0725E-03,3.3316E-05,0.0000E+00
64,8.0000E+01,1.4500E+03,1.6459E-01,-1.0343E+00,-5.0873E-05,-2.8258E-04,2.9856E-03,3.0219E-05,0.0000E+00
65,8.0000E+01,1.4600E+03,1.5252E-01,-1.0373E+00,-5.8094E-05,-2.9359E-04,2.7414E-03,2.7477E-05,0.0000E+00
66,8.0000E+01,1.4700E+03,1.4036E-01,-1.0407E+00,-6.2858E-05,-3.0913E-04,3.0233E-03,2.6698E-05,0.0000E+00
67,8.0000E+01,1.4800E+03,1.2894E-01,-1.0452E+00,-6.7400E-05,-3.3019E-04,3.1630E-03,2.5278E-05,0.0000E+00
68,8.0000E+01,1.4900E+03,1.1680E-01,-1.0471E+00,-7.0163E-05,-3.4733E-04,3.4077E-03,2.3579E-05,0.0000E+00
69,8.0000E+01,1.5000E+03,1.0464E-01,-1.0495E+00,-6.5281E-05,-3.6185E-04,4.0646E-03,2.6461E-05,0.0000E+00
70,8.0000E+01,1.5100E+03,9.1953E-02,-1.0536E+00,-5.2467E-05,-3.7284E-04,3.7931E-03,2.9387E-05,0.0000E+00
71,8.0000E+01,1.5200E+03,7.8598E-02,-1.0594E+00,-3.9590E-05,-3.8718E-04,3.2132E-03,2.7037E-05,0.0000E+00
72,8.0000E+01,1.5300E+03,6.5223E-02,-1.0642E+00,-3.1991E-05,-3.9535E-04,2.9830E-03,2.3179E-05,0.0000E+00
73,8.0000E+01,1.5400E+03,5.3183E-02,-1.0671E+00,-2.1248E-05,-4.0285E-04,3.1002E-03,2.4562E-05,0.0000E+00
74,8.0000E+01,1.5500E+03,4.0953E-02,-1.0712E+00,-1.8969E-05,-4.0722E-04,3.0951E-03,2.5389E-05,0.0000E+00
