Index;ADC 1 channel 1 [V];Camera 1 : Exposure time [];Camera 2 : Exposure time [];LightSource 1 : Illumination time [];Reference time : Time 1 []
205;0.663947;50500;50500;50500;25.15
206;0.666517;50500;50500;50500;25.15
207;0.6691;50500;50500;50500;25.15
208;0.669309;50500;50500;50500;25.15
209;0.670683;50500;50500;50500;25.15
210;0.672076;50500;50500;50500;25.15
211;0.673421;50500;50500;50500;25.15
212;0.676182;50500;50500;50500;25.15
213;0.677552;50500;50500;50500;25.15
214;0.678691;50500;50500;50500;25.15
215;0.678917;50500;50500;50500;25.15
216;0.680305;50500;50500;50500;25.15
217;0.681661;50500;50500;50500;25.15
218;0.683005;50500;50500;50500;25.15
219;0.684411;50500;50500;50500;25.15
220;0.685783;50500;50500;50500;25.15
221;0.68714;50500;50500;50500;25.15
222;0.687109;50500;50500;50500;25.15
223;0.6885;50500;50500;50500;25.15
224;0.689884;50500;50500;50500;25.15
225;0.69252;50500;50500;50500;25.15
226;0.692616;50500;50500;50500;25.15
227;0.693537;50500;50500;50500;25.15
228;0.693977;50500;50500;50500;25.15
229;0.69535;50500;50500;50500;25.15
230;0.696711;50500;50500;50500;25.15
231;0.698077;50500;50500;50500;25.15
232;0.698074;50500;50500;50500;25.15
233;0.698063;50500;50500;50500;25.15
234;0.699463;50500;50500;50500;25.15
235;0.700801;50500;50500;50500;25.15
236;0.702184;50500;50500;50500;25.15
237;0.702173;50500;50500;50500;25.15
238;0.703549;50500;50500;50500;25.15
239;0.703558;50500;50500;50500;25.15
240;0.703534;50500;50500;50500;25.15
241;0.704926;50500;50500;50500;25.15
242;0.706273;50500;50500;50500;25.15
243;0.706289;50500;50500;50500;25.15
244;0.706283;50500;50500;50500;25.15
245;0.707273;50500;50500;50500;25.15
246;0.707657;50500;50500;50500;25.15
247;0.707666;50500;50500;50500;25.15
248;0.708995;50500;50500;50500;25.15
249;0.708972;50500;50500;50500;25.15
250;0.708983;50500;50500;50500;25.15
251;0.709016;50500;50500;50500;25.15
252;0.710389;50500;50500;50500;25.15
253;0.710366;50500;50500;50500;25.15
254;0.711719;50500;50500;50500;25.15
255;0.711744;50500;50500;50500;25.15
256;0.711739;50500;50500;50500;25.15
257;0.711725;50500;50500;50500;25.15
258;0.711748;50500;50500;50500;25.15
259;0.713111;50500;50500;50500;25.15
260;0.713143;50500;50500;50500;25.15
261;0.713104;50500;50500;50500;25.15
262;0.713114;50500;50500;50500;25.15
263;0.71312;50500;50500;50500;25.15
264;0.713089;50500;50500;50500;25.15
265;0.713111;50500;50500;50500;25.15
266;0.714513;50500;50500;50500;25.15
267;0.714503;50500;50500;50500;25.15
268;0.714504;50500;50500;50500;25.15
269;0.713115;50500;50500;50500;25.15
270;0.714486;50500;50500;50500;25.15
271;0.714483;50500;50500;50500;25.15
272;0.715461;50500;50500;50500;25.15
273;0.714495;50500;50500;50500;25.15
274;0.71448;50500;50500;50500;25.15
275;0.714487;50500;50500;50500;25.15
276;0.714493;50500;50500;50500;25.15
277;0.71447;50500;50500;50500;25.15
278;0.714484;50500;50500;50500;25.15
279;0.714485;50500;50500;50500;25.15
280;0.714511;50500;50500;50500;25.15
281;0.714505;50500;50500;50500;25.15
282;0.714514;50500;50500;50500;25.15
283;0.714497;50500;50500;50500;25.15
284;0.714512;50500;50500;50500;25.15
285;0.714505;50500;50500;50500;25.15
286;0.713114;50500;50500;50500;25.15
287;0.713128;50500;50500;50500;25.15
288;0.713126;50500;50500;50500;25.15
289;0.713681;50500;50500;50500;25.15
290;0.71312;50500;50500;50500;25.15
291;0.713137;50500;50500;50500;25.15
292;0.713127;50500;50500;50500;25.15
293;0.712115;50500;50500;50500;25.15
294;0.711763;50500;50500;50500;25.15
295;0.713147;50500;50500;50500;25.15
296;0.711774;50500;50500;50500;25.15
297;0.711759;50500;50500;50500;25.15
298;0.710388;50500;50500;50500;25.15
299;0.710377;50500;50500;50500;25.15
300;0.710392;50500;50500;50500;25.15
301;0.710563;50500;50500;50500;25.15
302;0.710376;50500;50500;50500;25.15
303;0.709042;50500;50500;50500;25.15
304;0.709036;50500;50500;50500;25.15
305;0.707667;50500;50500;50500;25.15
306;0.707661;50500;50500;50500;25.15
307;0.707655;50500;50500;50500;25.15
308;0.70752;50500;50500;50500;25.15
309;0.706276;50500;50500;50500;25.15
310;0.70492;50500;50500;50500;25.15
311;0.704899;50500;50500;50500;25.15
312;0.703555;50500;50500;50500;25.15
313;0.703547;50500;50500;50500;25.15
314;0.702189;50500;50500;50500;25.15
315;0.700813;50500;50500;50500;25.15
316;0.699469;50500;50500;50500;25.15
317;0.69807;50500;50500;50500;25.15
318;0.69671;50500;50500;50500;25.15
319;0.696731;50500;50500;50500;25.15
320;0.69536;50500;50500;50500;25.15
321;0.692633;50500;50500;50500;25.15
322;0.69126;50500;50500;50500;25.15
323;0.689892;50500;50500;50500;25.15
324;0.688517;50500;50500;50500;25.15
325;0.686979;50500;50500;50500;25.15
326;0.684397;50500;50500;50500;25.15
327;0.681677;50500;50500;50500;25.15
