x_pic,y_pic,x,y,z,u,v,w,exx,eyy,exy,e1,e2,gamma,evm
796,1489,5.87343E-001,5.98291E-001,-1.61035E-003,-3.85582E-005,-1.62062E-004,2.24741E-003,1.91063E-004,1.34123E-004,1.10678E-004,2.76874E-004,4.83123E-005,3.77872E+001,3.50941E-004
746,1489,1.72273E-001,5.98845E-001,-2.39088E-003,-3.42276E-005,2.28518E-005,3.50004E-003,-3.02192E-004,2.61410E-005,1.54708E-004,8.75517E-005,-3.63602E-004,6.83495E+001,3.79540E-004
756,1489,2.55267E-001,5.99103E-001,-3.31063E-003,-3.61184E-005,5.90642E-005,2.44920E-003,-3.46702E-004,5.76612E-005,-1.43767E-006,5.76664E-005,-3.46707E-004,-8.97963E+001,3.71552E-004
766,1489,3.38010E-001,5.98854E-001,-4.07940E-003,-1.95626E-004,1.67036E-005,2.96420E-003,-1.24600E-004,-3.48358E-005,-3.65371E-005,-2.18442E-005,-1.37592E-004,-7.04261E+001,1.72875E-004
776,1489,4.21164E-001,5.98587E-001,6.54810E-005,-2.47338E-004,5.91781E-006,3.78006E-003,1.17061E-005,2.19549E-005,-3.24246E-005,4.96576E-005,-1.59965E-005,-4.94904E+001,5.06940E-005
656,1499,-5.74328E-001,6.82490E-001,1.32132E-003,-2.88797E-005,6.23261E-005,3.50055E-003,-1.54740E-004,8.46828E-005,-1.69088E-004,1.72146E-004,-2.42204E-004,-6.26489E+001,2.49272E-004
666,1499,-4.91440E-001,6.81970E-001,8.82521E-004,-6.84041E-005,-2.61923E-005,3.84591E-003,-9.42701E-005,8.34487E-005,-5.57461E-006,8.36234E-005,-9.44448E-005,-8.82051E+001,1.03376E-004
676,1499,-4.08232E-001,6.82093E-001,2.03022E-003,1.73307E-005,-9.97771E-006,2.79301E-003,-1.79465E-004,-2.11988E-005,1.22603E-004,4.55913E-005,-2.46255E-004,6.14199E+001,2.62025E-004
686,1499,-3.25165E-001,6.82226E-001,4.04084E-003,-3.66954E-005,6.40643E-005,2.64634E-003,-1.16105E-004,-1.15179E-004,9.78029E-005,-1.78377E-005,-2.13446E-004,4.51357E+001,2.57383E-004
696,1499,-2.42538E-001,6.82190E-001,-1.64248E-003,-2.37213E-005,1.01932E-004,2.65446E-003,-1.60408E-004,-1.78216E-004,7.67612E-005,-9.20361E-005,-2.46588E-004,4.16916E+001,3.50183E-004
646,1499,-6.56731E-001,6.82159E-001,8.81447E-003,2.43417E-005,3.32663E-005,2.81286E-003,-2.23062E-004,1.19910E-004,-1.95239E-004,2.08280E-004,-3.11433E-004,-6.56471E+001,3.17293E-004
706,1499,-1.59554E-001,6.81722E-001,9.49639E-004,-1.82191E-004,6.32976E-006,2.74701E-003,1.17976E-004,-2.54711E-004,1.86335E-006,1.17985E-004,-2.54721E-004,2.86457E-001,2.54950E-004
786,1499,5.04618E-001,6.81487E-001,3.23592E-003,-3.88172E-005,-2.85605E-005,2.95011E-003,3.00078E-004,6.32914E-005,6.04012E-005,3.14595E-004,4.87739E-005,1.35148E+001,3.94450E-004
796,1499,5.87245E-001,6.81359E-001,-1.60841E-003,-1.02922E-004,3.85870E-005,2.65455E-003,5.36251E-004,5.16606E-004,1.66626E-004,6.93344E-004,3.59513E-004,4.33132E+001,1.07035E-003
736,1499,8.94934E-002,6.81700E-001,-2.75682E-003,1.34536E-004,-4.93901E-005,2.46779E-003,-1.11204E-005,-1.26993E-004,4.92609E-005,6.99101E-006,-1.45105E-004,2.01866E+001,1.63666E-004
