Coordinates.Image X [Pixel],Coordinates.Image Y [Pixel],coor.X [mm],coor.Y [mm],coor.Z [mm],disp.Horizontal Displacement U [mm],disp.Vertical Displacement V [mm],disp.Out-Of-Plane: W [mm],disp.Displacement Magnitude [mm],strain.Strain-global frame: Exx [ ],strain.Strain-global frame: Eyy [ ],strain.Strain-global frame: Exy [ ],strain.Maximum Principal Strain: EI [ ],strain.Minimum Principal Strain: EII [ ],strain.Shear Angle Gamma [deg],strain.Von Mises Equivalent Strain [ ],ext.Current Image [#],ext.Time [s],ext.Force [N]
1091,1040,-1.34045E+000,-4.01048E+000,1.26504E-002,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
1211,1340,9.78442E-001,1.63619E+000,1.80157E-003,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
1136,935,-5.12348E-001,-5.98548E+000,-1.14020E-003,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
1151,1265,-1.68870E-001,2.22709E-001,-7.02637E-004,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
1181,1115,3.69874E-001,-2.60086E+000,-3.48159E-004,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
1091,1505,-1.25785E+000,4.74227E+000,5.21505E-005,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
1106,1415,-9.91235E-001,3.04708E+000,-2.30162E-003,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
1151,1535,-1.19152E-001,5.30984E+000,-7.11257E-005,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
1181,1295,4.03159E-001,7.87629E-001,-3.99804E-004,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
1136,980,-5.04374E-001,-5.14005E+000,-3.05552E-003,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0.00000E+000,0,0.00000E+000,2.81807E-001
